,unit_key,อำเภอ,ตำบล,หน่วย,รายการ,คะแนน
143,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_19,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,10,ไม่แสดงความคิดเห็น,42
144,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_21,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,11,เห็นชอบ,105
145,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_21,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,11,ไม่เห็นชอบ,79
146,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_21,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,11,ไม่แสดงความคิดเห็น,29
147,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_23,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,12,เห็นชอบ,131
148,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_23,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,12,ไม่เห็นชอบ,96
149,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_23,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,12,ไม่แสดงความคิดเห็น,37
150,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_25,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,13,เห็นชอบ,156
151,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_25,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,13,ไม่เห็นชอบ,159
152,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_25,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,13,ไม่แสดงความคิดเห็น,28
153,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_27,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,14,เห็นชอบ,97
154,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_27,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,14,ไม่เห็นชอบ,84
155,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_27,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,14,ไม่แสดงความคิดเห็น,26
156,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_1,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,1,เห็นชอบ,129
157,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_1,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,1,ไม่เห็นชอบ,235
158,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_1,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,1,ไม่แสดงความคิดเห็น,37
159,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_3,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,2,เห็นชอบ,213
160,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_3,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,2,ไม่เห็นชอบ,128
161,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกลันทา_3,อำเภอเมืองบุรีรัมย์,ตำบลกลันทา,2,ไม่แสดงความคิดเห็น,48
